"","pais_region","codigo_pais_region","anyo","empleadoras_mujeres","empleadores_hombres","empleo_agricultura_mujeres","empleo_agricultura_hombres","empleo_industria_mujeres","empleo_industria_hombres","empleo_servicios_mujeres","empleo_servicios_hombres","empleo_informal_mujeres","empleo_informal_hombres","legislacion_acoso_sexual","autoempleo_mujeres","autoempleo_hombres","empleo_parcial_mujeres","desempleo_educacion_mujeres","desempleo_educacion_hombres","desempleo_mujeres","desempleo_hombres","trabajo_domestico_no_remunerado_mujeres","trabajo_domestico_no_remunerado_hombres"
"80","Bolivia","BOL","2000",0.973999977111816,2.64499998092651,37.2299995422363,40.173999786377,9.6899995803833,25.0729999542236,53.0800018310547,34.7529983520508,NA,NA,NA,36.2019996643066,45.6689987182617,NA,14.5900001525879,9.09000015258789,5.57999992370605,3.57999992370605,NA,NA
"81","Bolivia","BOL","2001",1.34500002861023,2.79399991035461,42.2610015869141,45.6209983825684,8.98499965667725,20.5809993743896,48.7540016174316,33.7980003356934,NA,NA,NA,31.3169994354248,38.306999206543,NA,NA,NA,NA,NA,23.1192589,12.1336162
"82","Bolivia","BOL","2002",1.97899997234344,6.20599985122681,39.1209983825684,44.7929992675781,10.7170000076294,22.9190006256104,50.1619987487793,32.2879981994629,NA,NA,NA,33.1040000915527,38.6469993591309,NA,NA,NA,NA,NA,NA,NA
"83","Bolivia","BOL","2003",1.89600002765656,6.53900003433228,34.4329986572266,35.5719985961914,10.9060001373291,27.632999420166,54.6609992980957,36.7949981689453,NA,NA,NA,35.0660018920898,36.4440002441406,NA,NA,NA,NA,NA,NA,NA
"84","Bolivia","BOL","2004",1.82599997520447,6.88700008392334,34.4480018615723,35.5639991760254,10.9160003662109,27.6809997558594,54.6360015869141,36.7550010681152,NA,NA,NA,36.9620018005371,34.0209999084473,NA,NA,NA,NA,NA,NA,NA
"85","Bolivia","BOL","2005",2.77600002288818,7.07800006866455,37.1040000915527,35.935001373291,11.0279998779297,26.8899993896484,51.8680000305176,37.1749992370605,95.0699996948242,92.4199981689453,NA,33.0379981994629,35.2089996337891,NA,8.03229999542236,7.37480020523071,NA,NA,NA,NA
"86","Bolivia","BOL","2006",1.99199998378754,6.19399976730347,37.0180015563965,37.7070007324219,10.4060001373291,23.8740005493164,52.576000213623,38.4189987182617,95.5199966430664,92.870002746582,NA,29.5709991455078,37.4580001831055,NA,6.78389978408813,5.70599985122681,NA,NA,NA,NA
"87","Bolivia","BOL","2007",3.06800007820129,7.02199983596802,36.5209999084473,32.4070014953613,9.32800006866455,28.4139995574951,54.1510009765625,39.1790008544922,80.8099975585938,73.9300003051758,NA,31.5049991607666,33.9990005493164,NA,12.2904996871948,4.61700010299683,NA,NA,NA,NA
"88","Bolivia","BOL","2008",3.09899997711182,8.50100040435791,31.3320007324219,31.1070003509521,10.9130001068115,27.0400009155273,57.7540016174316,41.8530006408691,82.4499969482422,77.4100036621094,NA,33.6539993286133,36.6259994506836,NA,6.34859991073608,3.17499995231628,3.35430002212524,1.97619998455048,NA,NA
"89","Bolivia","BOL","2009",2.78900003433228,6.91599988937378,30.7530002593994,29.5769996643066,10.5830001831055,28.4179992675781,58.6629981994629,42.0050010681152,79.5599975585938,76.2300033569336,0,33.367000579834,36.6119995117188,55.5418455530441,6.40659999847412,6.21199989318848,3.43519997596741,2.39599990844727,NA,NA
